Province,Area,Bedrooms,Bathrooms,Floors,HouseType,Price
Cần Thơ,197.3,4,4,1,Nhà trọ,9.801
Quảng Ninh,71.8,1,1,1,Chung cư,6.85
Hải Phòng,71.8,3,4,2,Biệt thự,17.864
Bà Rịa-VT,89.1,3,3,2,Biệt thự,15.127
Cần Thơ,70.6,3,4,2,Nhà trọ,6.142
Quảng Ninh,86.4,4,4,2,Nhà phố,11.315
Khánh Hòa,124.5,4,3,2,Nhà phố,31.844
Đà Nẵng,153.1,4,5,3,Biệt thự,61.51
Hà Nội,164.3,2,3,4,Nhà trọ,13.114
Đà Nẵng,309.2,4,4,1,Nhà phố,47.578
Hải Phòng,126.7,1,2,2,Đất nền,14.956
TP.HCM,344.0,4,3,1,Biệt thự,170.437
Hà Nội,56.5,2,3,3,Đất nền,11.074
Đồng Nai,315.7,1,2,3,Nhà trọ,21.538
Khánh Hòa,71.6,3,3,4,Đất nền,16.202
Đồng Nai,76.0,2,3,1,Nhà phố,14.131
Cần Thơ,83.8,2,2,5,Nhà phố,11.607
Hà Nội,79.0,2,2,1,Chung cư,14.783
Đồng Nai,94.8,1,2,3,Biệt thự,24.944
Đồng Nai,63.6,2,1,1,Nhà trọ,3.975
Quảng Ninh,148.1,1,1,4,Biệt thự,38.999
Đà Nẵng,64.6,3,4,2,Đất nền,7.703
Quảng Ninh,133.4,1,1,3,Nhà trọ,5.369
Hà Nội,225.1,3,2,3,Nhà trọ,23.599
Hà Nội,72.7,2,1,1,Nhà phố,18.899
Hải Phòng,145.0,5,5,1,Đất nền,13.972
Quảng Ninh,125.9,4,3,4,Nhà phố,15.08
Bình Dương,347.8,2,3,2,Nhà phố,54.242
Đà Nẵng,66.5,4,5,1,Chung cư,12.634
Hà Nội,145.0,4,4,2,Nhà phố,49.531
Hải Phòng,33.9,5,4,2,Biệt thự,17.425
Quảng Ninh,66.9,3,4,1,Nhà trọ,4.804
Đà Nẵng,111.3,1,2,1,Nhà phố,26.378
Quảng Ninh,207.7,3,4,1,Biệt thự,35.753
Đồng Nai,43.1,3,3,2,Đất nền,7.048
Hải Phòng,144.3,3,3,4,Nhà trọ,6.667
Đà Nẵng,86.7,2,3,5,Đất nền,10.627
Bà Rịa-VT,36.1,4,5,3,Biệt thự,11.889
Cần Thơ,100.4,5,4,1,Đất nền,12.576
Cần Thơ,251.0,2,1,4,Đất nền,19.828
Đà Nẵng,46.0,1,1,2,Đất nền,6.179
Quảng Ninh,84.3,2,2,1,Nhà phố,10.617
Hải Phòng,49.8,4,5,4,Nhà phố,12.954
Cần Thơ,68.0,3,3,3,Nhà phố,10.742
Hải Phòng,212.6,3,4,3,Nhà trọ,13.797
Cần Thơ,76.5,3,2,3,Biệt thự,16.459
Đồng Nai,208.7,3,2,1,Nhà phố,40.317
Quảng Ninh,175.1,2,1,1,Đất nền,10.552
Đồng Nai,72.4,3,2,3,Đất nền,7.313
Cần Thơ,66.6,4,5,1,Đất nền,11.437
Bà Rịa-VT,52.6,5,4,2,Đất nền,6.519
Bà Rịa-VT,51.5,5,5,3,Chung cư,6.498
Đồng Nai,111.3,5,5,3,Nhà trọ,8.895
Bà Rịa-VT,89.0,3,3,2,Biệt thự,19.316
Cần Thơ,61.9,3,2,3,Biệt thự,14.76
Đà Nẵng,35.5,3,2,3,Nhà phố,9.207
Đồng Nai,95.9,4,4,3,Chung cư,22.693
TP.HCM,67.9,2,3,1,Biệt thự,36.103
Quảng Ninh,80.1,2,1,1,Nhà trọ,3.202
Bà Rịa-VT,108.1,2,3,2,Đất nền,12.658
Bà Rịa-VT,20.1,3,3,1,Nhà phố,6.626
Hà Nội,35.9,2,3,1,Nhà trọ,4.72
Bình Dương,357.0,2,1,1,Biệt thự,68.646
Đồng Nai,66.4,1,2,2,Chung cư,8.9
Khánh Hòa,20.0,2,3,4,Nhà phố,9.701
Bà Rịa-VT,37.7,4,3,1,Biệt thự,8.872
Quảng Ninh,399.7,2,1,3,Nhà phố,74.985
TP.HCM,59.0,3,4,3,Biệt thự,37.422
Bà Rịa-VT,180.4,3,4,1,Đất nền,19.941
TP.HCM,96.8,4,4,4,Chung cư,34.588
Cần Thơ,67.3,2,1,2,Đất nền,5.262
Cần Thơ,143.3,5,5,2,Biệt thự,44.119
Bình Dương,21.5,3,2,3,Nhà trọ,2.729
Đà Nẵng,37.9,5,5,1,Đất nền,6.259
Khánh Hòa,67.0,4,5,3,Nhà trọ,7.716
Hà Nội,40.2,2,3,1,Biệt thự,25.473
Bình Dương,63.5,1,2,3,Chung cư,7.809
Hải Phòng,150.2,2,1,2,Nhà trọ,8.099
Hà Nội,97.4,3,3,3,Biệt thự,60.028
Đồng Nai,200.0,2,1,1,Nhà trọ,11.186
Quảng Ninh,101.2,2,3,3,Đất nền,8.617
Hải Phòng,163.3,3,3,3,Biệt thự,46.555
Hải Phòng,86.6,1,2,2,Đất nền,8.874
Bình Dương,63.2,2,3,3,Nhà phố,8.305
Đà Nẵng,218.8,3,2,2,Biệt thự,68.319
Bình Dương,58.8,1,2,4,Nhà trọ,5.045
Đồng Nai,110.6,2,2,2,Nhà phố,17.835
Bà Rịa-VT,142.8,3,4,3,Đất nền,15.1
Bà Rịa-VT,149.1,3,4,3,Đất nền,11.422
Đà Nẵng,44.7,4,3,2,Nhà trọ,5.798
Đồng Nai,169.2,3,3,1,Nhà phố,19.216
Đà Nẵng,50.0,3,2,2,Chung cư,10.011
TP.HCM,146.4,3,4,3,Nhà trọ,27.993
Bà Rịa-VT,124.1,4,3,1,Đất nền,9.09
Hải Phòng,147.1,4,3,2,Biệt thự,32.49
Khánh Hòa,43.7,4,3,3,Nhà phố,14.004
Quảng Ninh,128.1,3,2,2,Chung cư,14.049
Đồng Nai,172.7,2,3,3,Biệt thự,33.255
Hà Nội,101.1,2,3,1,Nhà phố,31.703
Đà Nẵng,55.1,1,1,1,Nhà trọ,5.04
Quảng Ninh,156.3,5,4,3,Nhà trọ,11.169
Hà Nội,96.4,3,2,1,Nhà phố,20.027
Quảng Ninh,33.0,3,3,1,Chung cư,6.882
Khánh Hòa,52.6,2,1,4,Nhà phố,17.689
Hà Nội,65.6,4,4,2,Biệt thự,46.132
Bình Dương,222.2,2,3,5,Biệt thự,61.908
Cần Thơ,200.0,1,1,5,Nhà trọ,10.579
Bình Dương,199.6,2,1,1,Nhà phố,38.424
Bà Rịa-VT,103.5,3,3,1,Nhà trọ,8.522
Cần Thơ,155.7,3,4,3,Chung cư,13.304
Bình Dương,45.4,4,3,2,Biệt thự,23.855
Cần Thơ,90.4,2,3,1,Đất nền,8.307
Cần Thơ,118.0,3,4,3,Đất nền,11.298
Hải Phòng,47.2,3,3,1,Nhà phố,7.671
Đà Nẵng,102.1,2,3,4,Nhà phố,21.199
Đà Nẵng,247.6,4,3,1,Đất nền,23.481
Hải Phòng,125.9,4,5,1,Nhà phố,20.482
Quảng Ninh,156.1,3,4,1,Biệt thự,29.455
TP.HCM,20.7,4,4,5,Chung cư,12.451
Quảng Ninh,229.2,3,4,3,Chung cư,21.461
Hà Nội,80.5,2,2,3,Nhà trọ,9.769
Hà Nội,56.8,3,3,2,Biệt thự,23.505
Cần Thơ,81.1,2,1,2,Nhà phố,9.031
Bình Dương,36.9,2,1,1,Nhà phố,8.598
Bình Dương,168.8,1,1,2,Nhà trọ,8.666
Đà Nẵng,73.6,3,2,2,Nhà trọ,8.183
Đồng Nai,57.8,3,3,3,Nhà phố,13.163
Quảng Ninh,81.4,2,3,1,Nhà phố,15.112
Bà Rịa-VT,176.1,3,2,4,Biệt thự,48.251
Khánh Hòa,97.4,4,3,1,Nhà trọ,8.975
Bình Dương,38.6,2,1,5,Biệt thự,13.657
Khánh Hòa,119.0,2,3,1,Nhà phố,31.629
Cần Thơ,51.6,4,3,2,Đất nền,7.458
Khánh Hòa,24.7,2,3,2,Đất nền,5.9
Bà Rịa-VT,220.9,3,3,2,Nhà phố,37.493
Hải Phòng,118.4,1,1,2,Nhà trọ,6.442
Bà Rịa-VT,85.9,3,3,2,Đất nền,8.343
Khánh Hòa,73.2,3,4,2,Nhà trọ,7.955
Bà Rịa-VT,208.1,3,2,3,Đất nền,13.715
TP.HCM,500.0,4,3,3,Nhà trọ,55.352
Cần Thơ,117.8,4,3,3,Đất nền,15.502
Quảng Ninh,48.5,4,3,1,Nhà trọ,4.545
Hải Phòng,82.0,3,2,3,Biệt thự,23.556
Bình Dương,116.6,1,2,2,Nhà trọ,7.271
Hà Nội,22.0,3,3,2,Biệt thự,21.683
Quảng Ninh,110.0,1,1,2,Biệt thự,27.818
Hà Nội,117.0,4,4,2,Nhà phố,41.878
Cần Thơ,199.5,2,3,1,Biệt thự,38.152
Hải Phòng,187.4,3,4,1,Chung cư,21.552
Đà Nẵng,96.2,2,1,1,Biệt thự,31.709
Bình Dương,223.4,4,5,3,Nhà trọ,12.427
TP.HCM,305.3,4,4,3,Biệt thự,146.584
Đà Nẵng,91.5,2,1,5,Nhà trọ,4.971
Cần Thơ,115.7,4,3,3,Nhà trọ,7.964
Quảng Ninh,31.2,2,2,1,Chung cư,5.286
TP.HCM,37.7,3,2,4,Biệt thự,35.159
Bà Rịa-VT,54.4,4,3,4,Biệt thự,16.092
Khánh Hòa,69.0,2,2,2,Đất nền,11.316
TP.HCM,46.6,5,4,2,Đất nền,20.981
Cần Thơ,88.1,2,1,5,Nhà phố,18.487
Đồng Nai,70.2,1,1,2,Nhà trọ,4.286
Khánh Hòa,171.1,4,5,4,Chung cư,29.43
Hà Nội,67.7,1,1,1,Đất nền,14.11
Bình Dương,22.8,5,4,1,Biệt thự,11.705
Hà Nội,97.1,5,5,2,Nhà phố,32.645
TP.HCM,89.3,2,1,2,Chung cư,26.157
Hà Nội,53.7,3,2,3,Biệt thự,37.716
Cần Thơ,95.3,2,2,5,Biệt thự,25.251
Bà Rịa-VT,47.2,3,2,2,Nhà trọ,2.491
Quảng Ninh,109.7,1,2,1,Nhà trọ,5.959
Bình Dương,436.9,2,1,3,Đất nền,36.125
Hà Nội,30.5,2,2,3,Đất nền,8.895
Hà Nội,66.0,3,4,1,Biệt thự,30.674
TP.HCM,60.0,5,5,2,Biệt thự,37.789
Quảng Ninh,69.4,4,3,3,Đất nền,5.753
Đà Nẵng,166.0,3,3,3,Đất nền,26.174
Hà Nội,124.7,3,2,2,Biệt thự,50.622
Cần Thơ,149.8,4,3,2,Chung cư,16.031
Đồng Nai,91.7,2,2,5,Biệt thự,25.325
Bình Dương,40.7,3,3,3,Chung cư,6.375
Hà Nội,46.1,5,4,2,Chung cư,12.013
Cần Thơ,140.9,2,3,1,Biệt thự,24.711
Cần Thơ,99.7,3,2,3,Nhà phố,13.641
Bình Dương,191.7,4,5,1,Đất nền,22.607
Đà Nẵng,107.3,4,3,1,Nhà trọ,7.8
Cần Thơ,44.3,3,3,2,Biệt thự,20.488
Đồng Nai,65.8,2,3,1,Chung cư,10.258
Cần Thơ,126.3,2,2,3,Biệt thự,32.865
Cần Thơ,137.9,1,1,1,Đất nền,10.605
Cần Thơ,150.4,4,4,3,Chung cư,21.861
Bà Rịa-VT,48.0,1,1,1,Nhà trọ,2.481
Bà Rịa-VT,43.8,4,4,1,Nhà trọ,3.666
Đà Nẵng,80.3,2,1,1,Nhà trọ,6.423
Hà Nội,213.6,2,3,4,Nhà phố,65.338
Cần Thơ,59.4,3,2,4,Chung cư,8.958
Quảng Ninh,118.3,3,2,1,Chung cư,11.45
Hà Nội,118.3,2,1,3,Nhà phố,29.3
Đà Nẵng,142.1,3,3,3,Chung cư,23.154
Hải Phòng,244.4,3,2,5,Nhà phố,42.803
Hà Nội,229.8,2,3,2,Biệt thự,84.046
Hà Nội,63.0,2,1,3,Đất nền,8.97
Khánh Hòa,25.6,4,4,1,Nhà trọ,4.605
TP.HCM,59.9,3,4,2,Nhà phố,29.427
Khánh Hòa,94.2,1,2,5,Nhà phố,32.173
Đồng Nai,72.5,4,5,2,Nhà phố,12.528
Bà Rịa-VT,293.2,5,5,1,Biệt thự,54.036
Bà Rịa-VT,91.0,3,2,1,Nhà phố,12.27
TP.HCM,133.3,3,3,3,Đất nền,36.145
Bình Dương,102.5,4,5,3,Đất nền,13.593
Bình Dương,73.1,5,5,2,Nhà trọ,5.923
Đà Nẵng,28.4,4,4,5,Biệt thự,23.305
TP.HCM,85.9,3,2,1,Đất nền,16.95
Hà Nội,500.0,3,4,2,Chung cư,66.577
Bình Dương,42.7,3,2,4,Chung cư,6.68
Cần Thơ,30.3,2,1,2,Chung cư,5.992
Quảng Ninh,287.7,3,2,1,Nhà phố,42.233
Hà Nội,140.5,4,3,2,Nhà phố,42.425
Đồng Nai,100.7,3,4,3,Chung cư,12.305
Cần Thơ,203.9,3,4,1,Nhà trọ,11.493
Cần Thơ,54.7,3,2,4,Nhà trọ,4.41
TP.HCM,84.4,2,1,3,Nhà phố,30.167
Đà Nẵng,159.7,3,3,1,Chung cư,22.179
Đồng Nai,319.3,4,4,3,Nhà trọ,21.911
Bình Dương,44.7,2,2,2,Nhà phố,10.15
TP.HCM,194.1,2,3,2,Chung cư,33.174
Bình Dương,113.2,5,5,3,Biệt thự,33.516
TP.HCM,99.3,2,3,5,Chung cư,16.753
TP.HCM,89.6,2,3,1,Chung cư,31.479
TP.HCM,39.2,5,5,2,Đất nền,18.105
Đà Nẵng,160.4,3,4,2,Đất nền,16.977
TP.HCM,56.3,3,3,2,Biệt thự,34.895
Hải Phòng,47.1,4,3,2,Biệt thự,15.688
Quảng Ninh,153.1,2,1,1,Chung cư,20.036
Bình Dương,144.5,3,2,3,Nhà trọ,7.433
Hà Nội,94.4,3,3,2,Biệt thự,46.692
Khánh Hòa,172.0,4,3,1,Chung cư,26.02
Đồng Nai,211.8,3,3,3,Nhà phố,38.464
Bà Rịa-VT,197.3,3,3,3,Đất nền,15.74
Đà Nẵng,65.6,3,3,2,Nhà trọ,4.466
Hà Nội,165.4,3,2,1,Chung cư,29.121
Cần Thơ,102.2,4,3,3,Nhà phố,14.18
Hải Phòng,253.5,3,2,1,Đất nền,22.966
Bà Rịa-VT,83.6,3,4,1,Nhà phố,17.75
Khánh Hòa,72.7,3,3,3,Chung cư,9.937
Hà Nội,62.3,3,4,1,Biệt thự,29.61
Bà Rịa-VT,100.8,3,3,1,Đất nền,8.149
Hà Nội,119.1,4,3,1,Nhà phố,33.326
Hải Phòng,120.5,3,3,1,Biệt thự,35.596
Khánh Hòa,111.0,4,4,1,Nhà trọ,10.412
Cần Thơ,134.6,4,5,5,Chung cư,17.045
TP.HCM,78.8,3,3,1,Chung cư,17.751
Bình Dương,53.3,3,2,1,Đất nền,7.586
Cần Thơ,50.6,4,4,1,Nhà phố,12.795
TP.HCM,161.6,3,3,4,Nhà trọ,17.585
Đà Nẵng,119.4,4,4,2,Đất nền,19.334
Quảng Ninh,29.6,3,4,2,Đất nền,5.342
Đồng Nai,173.8,3,3,4,Nhà phố,34.582
Đồng Nai,278.2,2,2,2,Nhà trọ,14.608
Bình Dương,58.6,3,4,2,Nhà phố,15.214
Khánh Hòa,110.1,5,5,1,Chung cư,20.389
Hải Phòng,67.8,3,4,2,Biệt thự,21.141
Khánh Hòa,131.2,3,4,2,Chung cư,22.722
Hải Phòng,44.7,5,4,3,Chung cư,9.992
Khánh Hòa,86.2,3,2,1,Đất nền,10.053
Quảng Ninh,162.2,3,3,2,Chung cư,22.572
Đà Nẵng,188.9,4,3,1,Nhà trọ,9.821
Đà Nẵng,116.3,3,3,1,Chung cư,14.643
TP.HCM,73.4,2,1,2,Nhà trọ,9.366
Bà Rịa-VT,34.6,3,4,4,Nhà phố,9.674
Đà Nẵng,57.1,3,4,2,Đất nền,13.314
Đà Nẵng,67.9,2,1,3,Nhà trọ,4.005
Cần Thơ,59.2,3,2,1,Chung cư,6.456
Cần Thơ,93.3,3,3,1,Đất nền,5.943
TP.HCM,73.3,2,2,1,Đất nền,15.509
Bà Rịa-VT,99.8,3,3,2,Nhà trọ,6.094
Bình Dương,185.2,1,2,1,Nhà trọ,15.289
Cần Thơ,70.5,3,4,1,Biệt thự,19.829
Bình Dương,39.3,4,5,3,Biệt thự,25.011
Hà Nội,59.1,3,4,1,Đất nền,15.118
Cần Thơ,127.8,2,2,2,Biệt thự,25.369
Quảng Ninh,135.2,1,2,2,Chung cư,10.011
Bà Rịa-VT,114.9,2,3,2,Nhà phố,16.911
TP.HCM,196.5,3,4,2,Đất nền,28.072
Hà Nội,80.5,2,3,2,Nhà phố,32.57
Bà Rịa-VT,308.4,3,2,1,Biệt thự,55.524
Quảng Ninh,147.1,2,2,3,Nhà trọ,10.622
Bà Rịa-VT,20.0,4,4,4,Đất nền,4.448
Quảng Ninh,265.2,2,3,1,Biệt thự,58.58
Quảng Ninh,56.8,2,1,1,Chung cư,6.759
Bình Dương,48.4,4,4,4,Đất nền,8.756
Khánh Hòa,123.3,2,2,2,Đất nền,15.331
Hà Nội,31.7,2,3,2,Nhà trọ,5.842
Bà Rịa-VT,59.3,3,4,2,Đất nền,5.611
Hải Phòng,229.1,3,3,1,Nhà trọ,10.29
Hà Nội,125.7,3,3,2,Biệt thự,72.556
Khánh Hòa,146.5,2,1,2,Chung cư,24.561
Hà Nội,60.7,3,3,1,Chung cư,14.953
Đà Nẵng,35.8,2,2,2,Đất nền,8.617
Hải Phòng,137.6,1,2,3,Đất nền,12.175
Khánh Hòa,157.3,4,4,2,Biệt thự,74.162
Bình Dương,153.1,3,4,1,Nhà trọ,10.828
Bà Rịa-VT,102.0,2,2,2,Chung cư,7.98
Đồng Nai,50.4,3,3,3,Nhà trọ,6.468
Khánh Hòa,388.6,2,2,3,Biệt thự,142.566
TP.HCM,120.0,4,3,3,Chung cư,28.998
Bà Rịa-VT,81.1,2,3,1,Chung cư,9.564
Khánh Hòa,81.3,1,1,3,Nhà phố,16.841
Đà Nẵng,98.5,3,3,3,Biệt thự,40.567
Đồng Nai,171.0,3,2,1,Biệt thự,24.798
Đà Nẵng,100.9,3,4,2,Nhà phố,18.667
Đồng Nai,150.7,1,1,2,Nhà trọ,10.137
TP.HCM,98.6,2,1,3,Nhà phố,30.565
Bà Rịa-VT,84.1,3,2,1,Biệt thự,20.051
Bình Dương,132.3,2,3,2,Nhà trọ,6.817
Đà Nẵng,129.3,4,3,4,Chung cư,28.861
Đà Nẵng,81.3,1,2,3,Nhà phố,21.507
Quảng Ninh,57.4,3,3,4,Nhà trọ,4.537
Đồng Nai,110.5,3,3,5,Nhà trọ,7.171
Cần Thơ,94.3,2,1,1,Nhà trọ,6.267
Bà Rịa-VT,64.5,3,3,3,Nhà phố,17.006
Đồng Nai,54.3,4,4,2,Chung cư,10.924
Quảng Ninh,115.2,2,1,4,Nhà trọ,10.499
Hà Nội,125.2,4,4,1,Nhà phố,31.823
Đồng Nai,72.5,3,2,5,Biệt thự,19.274
Bình Dương,63.6,2,3,3,Nhà phố,10.886
Bà Rịa-VT,54.7,3,4,3,Nhà phố,11.793
Quảng Ninh,113.2,2,3,1,Nhà phố,17.936
Hà Nội,55.6,3,2,1,Nhà trọ,7.178
Hải Phòng,345.4,4,3,3,Nhà phố,59.667
Quảng Ninh,70.4,4,4,1,Biệt thự,27.562
Hải Phòng,21.0,5,5,3,Nhà trọ,2.948
Bà Rịa-VT,88.4,4,4,1,Biệt thự,19.824
Đà Nẵng,86.2,3,3,3,Đất nền,14.747
Quảng Ninh,175.4,2,2,2,Nhà phố,22.651
TP.HCM,107.0,3,2,3,Nhà trọ,12.105
Hải Phòng,54.6,1,1,3,Nhà trọ,4.51
Bình Dương,75.8,3,4,2,Nhà phố,12.796
TP.HCM,109.6,3,4,1,Chung cư,24.836
Khánh Hòa,24.6,1,2,1,Chung cư,5.592
Khánh Hòa,201.0,1,2,2,Biệt thự,55.164
Hà Nội,54.7,2,1,2,Nhà phố,20.4
Đà Nẵng,210.7,3,2,3,Nhà phố,35.626
Bà Rịa-VT,113.9,3,2,2,Đất nền,13.151
Quảng Ninh,131.3,3,3,2,Chung cư,13.952
Cần Thơ,179.4,3,3,2,Chung cư,19.955
Bình Dương,127.0,3,4,1,Nhà phố,27.219
Hải Phòng,134.8,2,2,2,Biệt thự,28.365
Bà Rịa-VT,81.6,2,1,5,Nhà phố,8.249
TP.HCM,112.5,3,4,4,Biệt thự,68.16
Khánh Hòa,63.3,3,4,2,Chung cư,13.202
Bình Dương,73.3,1,1,2,Đất nền,8.778
Cần Thơ,292.6,2,3,3,Nhà trọ,14.003
Quảng Ninh,55.4,2,2,2,Chung cư,6.388
Hà Nội,98.7,3,3,1,Biệt thự,68.908
Cần Thơ,96.4,2,3,1,Nhà phố,10.752
Bình Dương,74.7,3,3,2,Chung cư,12.693
Cần Thơ,122.6,4,4,5,Đất nền,11.397
Bình Dương,128.2,2,2,3,Biệt thự,32.344
Bình Dương,51.7,5,5,1,Nhà phố,14.045
Đồng Nai,95.7,3,4,1,Nhà trọ,5.648
Hải Phòng,47.0,3,2,3,Biệt thự,18.389
Khánh Hòa,144.5,3,2,3,Nhà phố,43.139
Đồng Nai,100.1,3,3,3,Nhà trọ,7.639
Quảng Ninh,94.6,3,3,3,Nhà phố,16.841
Đồng Nai,133.7,3,3,1,Nhà trọ,6.842
Đà Nẵng,76.3,1,1,3,Nhà trọ,6.605
Đà Nẵng,155.8,1,1,3,Nhà trọ,16.813
Khánh Hòa,51.0,2,3,1,Nhà phố,13.148
Cần Thơ,210.0,2,3,3,Nhà trọ,10.143
Hải Phòng,64.7,2,3,1,Biệt thự,16.39
Khánh Hòa,32.5,2,1,1,Đất nền,5.234
Bình Dương,73.9,3,3,1,Đất nền,5.433
TP.HCM,69.0,4,4,1,Nhà trọ,12.15
Hải Phòng,73.6,5,5,2,Đất nền,8.753
Hải Phòng,103.4,3,2,2,Đất nền,7.852
Bình Dương,173.9,3,2,2,Nhà trọ,13.168
Bình Dương,80.2,4,3,2,Nhà trọ,5.415
Hà Nội,59.4,3,2,1,Biệt thự,28.928
Khánh Hòa,45.8,2,3,1,Chung cư,12.298
Bình Dương,68.0,5,4,3,Nhà phố,13.266
Đà Nẵng,29.0,3,2,2,Nhà trọ,2.806
Quảng Ninh,58.3,3,2,1,Nhà trọ,4.374
TP.HCM,189.9,2,2,4,Đất nền,44.678
Khánh Hòa,54.9,2,2,3,Biệt thự,17.152
Bà Rịa-VT,131.3,4,4,4,Đất nền,13.521
Đà Nẵng,43.1,3,4,2,Nhà trọ,5.836
Cần Thơ,260.5,2,3,1,Nhà trọ,8.571
Bình Dương,271.1,2,1,3,Đất nền,30.571
Bà Rịa-VT,128.3,3,3,1,Nhà trọ,8.17
Bình Dương,297.3,3,4,2,Chung cư,31.374
Hải Phòng,111.4,2,2,1,Nhà phố,22.452
Đà Nẵng,142.8,4,5,3,Nhà phố,39.927
Hải Phòng,191.9,1,2,1,Nhà phố,27.728
Hà Nội,100.3,2,1,4,Chung cư,18.458
Hải Phòng,35.5,3,2,4,Nhà trọ,3.024
Hà Nội,144.5,2,3,2,Đất nền,24.249
Hà Nội,67.8,4,3,3,Biệt thự,44.254
Bà Rịa-VT,70.9,3,4,3,Nhà trọ,4.537
Bình Dương,107.6,4,5,3,Chung cư,10.247
Cần Thơ,126.4,2,2,2,Chung cư,15.914
Hải Phòng,98.5,2,1,3,Nhà phố,16.678
Đà Nẵng,131.8,2,1,2,Nhà trọ,8.911
Hà Nội,58.9,3,2,4,Nhà phố,26.168
Bình Dương,87.7,3,3,2,Biệt thự,36.928
TP.HCM,149.8,4,4,2,Nhà phố,29.071
Khánh Hòa,260.8,3,3,3,Biệt thự,91.554
Bà Rịa-VT,322.4,4,3,3,Chung cư,21.13
Cần Thơ,116.7,3,2,2,Nhà phố,19.227
Đồng Nai,149.0,2,1,1,Nhà phố,22.407
Bà Rịa-VT,295.6,2,2,2,Đất nền,24.832
TP.HCM,60.2,3,3,5,Chung cư,17.135
Khánh Hòa,131.3,2,3,3,Đất nền,12.655
TP.HCM,142.7,1,1,3,Biệt thự,59.122
Hải Phòng,214.6,3,4,1,Biệt thự,54.583
Hà Nội,45.5,4,3,2,Chung cư,16.884
Cần Thơ,51.2,2,2,3,Biệt thự,11.424
Quảng Ninh,91.2,4,3,3,Chung cư,14.298
Hà Nội,112.9,4,3,1,Biệt thự,46.708
Quảng Ninh,176.6,3,2,4,Nhà trọ,10.958
Khánh Hòa,122.8,1,1,2,Nhà phố,22.812
Bình Dương,82.2,2,2,1,Nhà trọ,6.001
Đồng Nai,115.6,3,2,2,Chung cư,15.875
Đà Nẵng,107.8,3,4,1,Chung cư,12.748
Hà Nội,256.5,4,4,2,Nhà trọ,23.101
Cần Thơ,99.4,3,2,1,Nhà phố,15.592
TP.HCM,71.5,2,2,1,Nhà phố,39.733
Cần Thơ,117.9,2,3,3,Đất nền,9.142
Khánh Hòa,101.4,3,2,1,Biệt thự,54.909
Quảng Ninh,35.1,2,3,1,Đất nền,7.044
TP.HCM,89.2,2,1,2,Nhà phố,28.349
Đà Nẵng,84.7,3,4,2,Nhà trọ,7.345
Đà Nẵng,65.0,1,1,3,Biệt thự,18.275
Hà Nội,167.6,2,2,2,Nhà trọ,16.707
Khánh Hòa,56.2,3,2,3,Đất nền,7.708
Bình Dương,118.3,2,2,3,Chung cư,14.364
Khánh Hòa,82.4,2,1,1,Nhà trọ,9.573
Quảng Ninh,96.0,3,2,1,Đất nền,8.409
Cần Thơ,115.2,4,5,2,Đất nền,11.338
Đà Nẵng,41.1,2,3,2,Đất nền,5.058
Cần Thơ,101.0,4,5,3,Chung cư,13.442
Cần Thơ,355.4,2,1,2,Chung cư,32.234
Cần Thơ,35.4,3,2,2,Chung cư,5.527
Đà Nẵng,87.0,4,3,1,Biệt thự,30.153
Bà Rịa-VT,176.6,3,3,1,Chung cư,15.123
Hải Phòng,107.9,4,4,2,Chung cư,15.311
Quảng Ninh,136.0,2,1,2,Chung cư,13.433
Bà Rịa-VT,21.6,1,2,2,Nhà trọ,1.885
Quảng Ninh,128.9,4,5,1,Chung cư,15.699
TP.HCM,57.0,2,3,3,Biệt thự,45.068
Khánh Hòa,108.4,2,1,4,Đất nền,17.493
Khánh Hòa,88.4,3,4,1,Nhà trọ,9.126
Đồng Nai,353.2,4,3,2,Nhà phố,69.604
Khánh Hòa,125.0,4,4,5,Chung cư,24.664
Đà Nẵng,84.1,2,3,2,Đất nền,14.817
Bình Dương,36.4,4,4,2,Đất nền,8.186
Hà Nội,96.8,1,2,1,Nhà trọ,6.889
Đồng Nai,147.5,1,1,3,Nhà phố,28.102
Hà Nội,85.8,3,2,1,Biệt thự,41.27
Quảng Ninh,66.5,1,1,5,Đất nền,6.879
Hà Nội,63.8,2,1,3,Đất nền,13.158
Hà Nội,124.1,3,4,3,Đất nền,21.834
Đồng Nai,142.0,2,2,3,Đất nền,14.313
TP.HCM,203.7,2,1,2,Nhà trọ,20.052
Cần Thơ,49.6,2,3,2,Nhà phố,12.009
Khánh Hòa,123.4,3,3,4,Đất nền,18.111
Khánh Hòa,83.7,3,2,5,Biệt thự,32.338
Đà Nẵng,85.2,4,4,2,Biệt thự,27.255
Đồng Nai,114.6,4,3,4,Chung cư,15.438
Đà Nẵng,115.0,3,3,2,Đất nền,15.672
Bình Dương,123.6,4,4,2,Đất nền,16.133
Bình Dương,47.7,2,1,2,Đất nền,4.996
Đà Nẵng,57.4,2,3,1,Đất nền,6.128
Đồng Nai,219.5,4,4,1,Đất nền,23.802
Đà Nẵng,78.9,2,1,1,Biệt thự,32.923
Khánh Hòa,108.2,5,5,2,Nhà phố,24.333
Bà Rịa-VT,169.5,3,3,2,Nhà phố,31.204
Hải Phòng,118.9,4,5,2,Chung cư,16.087
Hà Nội,124.9,3,3,5,Biệt thự,59.399
Hải Phòng,154.0,3,3,2,Đất nền,14.036
